subject,qPCR.Trial,cycle,log10.fluor,fluor,treatment,gene
1,1,1,-0.023400291,0.947544705,treat1,GOI
1,1,2,-0.142609791,0.720095685,treat1,GOI
1,1,3,,1.843586212,treat1,GOI
1,1,4,-0.11898604,0.760350717,treat1,GOI
1,1,5,-0.047297043,0.896815193,treat1,GOI
1,1,6,-0.384343873,0.412720581,treat1,GOI
1,1,7,0.471568148,2.961884701,treat1,GOI
1,1,8,-0.072157355,0.846920499,treat1,GOI
1,1,9,-0.231615892,0.586656799,treat1,GOI
1,1,10,-0.043159284,0.90540047,treat1,GOI
1,1,11,0.006145537,1.014251217,treat1,GOI
1,1,12,,1.107436901,treat1,GOI
1,1,13,-0.056249634,0.878517397,treat1,GOI
1,1,14,,0.856717438,treat1,GOI
1,1,15,0.039079548,1.094156761,treat1,GOI
1,1,16,0.078585511,1.198355051,treat1,GOI
1,1,17, ,0.842931368,treat1,GOI
1,1,18,0.193528716,1.561452278,treat1,GOI
1,1,19,,1.37532468,treat1,GOI
1,1,20,0.075788273,1.190661397,treat1,GOI
1,1,21,0.295013424,1.972483705,treat1,GOI
1,1,22,,2.177216061,treat1,GOI
1,1,23,0.42577891,2.665501369,treat1,GOI
1,1,24,0.717609435,5.219266044,treat1,GOI
1,1,25,0.891663929,7.792268869,treat1,GOI
1,1,26,1.077562765,11.95536295,treat1,GOI
1,1,27,,23.86610744,treat1,GOI
1,1,28,1.48832568,30.78404462,treat1,GOI
1,1,29,1.65325978,45.00489783,treat1,GOI
1,1,30,,58.60527536,treat1,GOI
1,1,31,1.83226106,67.96120333,treat1,GOI
1,1,32,,77.08125907,treat1,GOI
1,1,33,1.915530955,82.32485136,treat1,GOI
1,1,34,1.951272638,89.38664523,treat1,GOI
1,1,35,,97.84941258,treat1,GOI
1,1,36,1.978028784,95.06677994,treat1,GOI
1,1,37,2.013888935,103.2497325,treat1,GOI
1,1,38,1.977263588,94.89942647,treat1,GOI
1,1,39,1.994827598,98.81607458,treat1,GOI
1,1,40,2.029110923,106.9327961,treat1,GOI
1,2,1,0.117184485,1.309738171,treat1,GOI
